PK_ACTIVIDAD;FK_INDUSTRIA;FK_SECTOR;ACTIVIDAD
1;15;3;ABASTECIMIENTO DE EVENTOS
2;15;3;ABASTECIMIENTO DE EVENTOS Y OTRAS ACTIVIDADES DE SERVICIO DE COMIDA
3;13;2;ACABADO DE PRODUCTOS TEXTILES
4;10;3;ACTIVIDADES AUXILIARES DE LA INTERMEDIACION FINANCIERA, EXCEPTO SEGUROS Y FONDOS DE PENSIONES
5;10;3;ACTIVIDADES AUXILIARES DE SEGUROS Y FONDOS DE PENSIONES
6;17;3;ACTIVIDADES COMBINADAS DE MANTENCION DE INSTALACIONES
7;17;3;ACTIVIDADES COMBINADAS DE SERVICIO ADMINISTRATIVO DE LA OFICINA
8;21;3;ACTIVIDADES COMPLEMENTARIAS Y DE TRANSPORTE
9;1;3;ACTIVIDADES DE ADMINISTRACION DE EMPRESAS Y DE CONSULTORIA SOBRE ADMINISTRACION DE EMPRESAS
10;12;3;ACTIVIDADES DE ADMINISTRACION DE FONDOS
11;17;3;ACTIVIDADES DE AGENCIA DE VIAJES Y OPERADORES TURISTICOS
12;10;3;ACTIVIDADES DE AGENCIAS DE COBRANZA Y OFICINAS DE CREDITO
13;11;3;ACTIVIDADES DE AGENCIAS DE NOTICIAS
14;4;3;ACTIVIDADES DE ALOJAMIENTO DE CORTO PLAZO
15;3;1;ACTIVIDADES DE APOYO A LA AGRICULTURA Y ACTIVIDADES POSTERIORES A LA COSECHA
16;14;1;ACTIVIDADES DE APOYO A LA EXPLOTACION DE MINAS
17;14;1;ACTIVIDADES DE APOYO A LA EXPLOTACION DE OTRAS MINAS Y CANTERAS
18;14;1;ACTIVIDADES DE APOYO A LA EXTRACCION DE PETROLEO Y GAS NATURAL
19;3;1;ACTIVIDADES DE APOYO A LA GANADERIA
20;3;1;ACTIVIDADES DE APOYO A LOS CULTIVOS
21;19;3;"ACTIVIDADES DE ARQUITECTURA E INGENIERIA; ENSAYOS Y ANALISIS TECNICOS"
22;19;3;"ACTIVIDADES DE ARQUITECTURA E INGENIERIA; Y ACTIVIDADES CONEXAS DE ASESORAMIENTO TECNICO"
23;5;3;ACTIVIDADES DE ARTE Y ENTRETENIMIENTO Y CREATIVIDAD
24;15;3;ACTIVIDADES DE ASOCIACIONES U ORGANIZACIONES
25;11;3;ACTIVIDADES DE BIBLIOTECAS Y ARCHIVOS
26;5;3;ACTIVIDADES DE CLUBES DEPORTIVOS
27;19;3;ACTIVIDADES DE CONSULTORIA INFORMATICA Y ACTIVIDADES DE ADMINISTRACION DE MEDIOS INFORMATICOS
28;19;3;"ACTIVIDADES DE CONTABILIDAD, TENEDURIA DE LIBROS Y AUDITORIAS; ASESORAMIENTO EN MATERIA DE IMPUESTOS"
29;17;3;ACTIVIDADES DE CUIDADO Y MANTENIMIENTO DE JARDINES
30;2;3;ACTIVIDADES DE DEFENSA
31;11;3;ACTIVIDADES DE DISTRIBUCION DE PELICULAS, VIDEOCINTAS Y PROGRAMAS DE TELEVISION
32;17;3;ACTIVIDADES DE EMBALAJE
33;19;3;ACTIVIDADES DE FOTOGRAFIA
34;11;3;ACTIVIDADES DE GRABACION Y PUBLICACION DE GRABACIONES SONORAS
35;16;3;ACTIVIDADES DE HOSPITALES
36;13;2;ACTIVIDADES DE IMPRESION
37;13;2;ACTIVIDADES DE IMPRESION Y REPRODUCCION DE GRABACIONES
38;13;2;ACTIVIDADES DE IMPRESION Y SERVICIOS CONEXOS
39;8;2;ACTIVIDADES DE INSTALACION ELECTRICA, FONTANERIA Y OTRAS INSTALACIONES DE LA CONSTRUCCION
40;19;3;ACTIVIDADES DE INVESTIGACION
41;17;3;ACTIVIDADES DE INVESTIGACION Y SEGURIDAD
42;5;3;ACTIVIDADES DE JARDINES BOTANICOS ZOOLOGICOS Y PARQUES NATURALES
43;5;3;ACTIVIDADES DE JUEGO Y APUESTAS
44;2;3;ACTIVIDADES DE LA ADMINISTRACION PUBLICA GENERAL
45;19;3;ACTIVIDADES DE LA TECNOLOGIA DE INFORMACION Y DEL SERVICIO INFORMATIVO
46;17;3;ACTIVIDADES DE LAS AGENCIAS DE EMPLEO
47;17;3;ACTIVIDADES DE LAS AGENCIAS DE VIAJES, OPERADORES TURISTICOS Y OTROS SERVICIOS DE RESERVA
48;17;3;ACTIVIDADES DE LAS CENTRALES DE LLAMADAS
49;17;3;ACTIVIDADES DE LIMPIEZA
50;12;3;ACTIVIDADES DE LOS AGENTES Y CORREDORES DE SEGURO
51;15;3;ACTIVIDADES DE LOS HOGARES EN CALIDAD DE EMPLEADORES DE PERSONAL DOMESTICO
52;2;3;ACTIVIDADES DE MANTENIMIENTO DEL ORDEN PUBLICO Y DE SEGURIDAD
53;16;3;ACTIVIDADES DE MEDICOS Y ODONTOLOGOS
54;5;3;ACTIVIDADES DE MUSEOS Y PRESERVACION DE LUGARES HISTORICOS
55;1;3;ACTIVIDADES DE OFICINAS CENTRALES (SOCIEDADES DE CARTERAS)
56;1;3;ACTIVIDADES DE OFICINAS CENTRALES (SOCIEDADES DE CARTERAS), ACTIVIDADES DE ADMINISTRACION DE EMPRESAS Y DE CONSULTORIA SOBRE ADMINISTRACION DE EMPRESAS
57;15;3;ACTIVIDADES DE ORGANIZACIONES EMPRESARIALES Y DE EMPLEADORES
58;2;3;ACTIVIDADES DE ORGANIZACIONES POLITICAS
59;15;3;ACTIVIDADES DE ORGANIZACIONES PROFESIONALES
60;15;3;ACTIVIDADES DE ORGANIZACIONES RELIGIOSAS
61;15;3;ACTIVIDADES DE ORGANIZACIONES Y ORGANOS EXTRATERRITORIALES
62;15;3;ACTIVIDADES DE OTRAS ASOCIACIONES
63;5;3;ACTIVIDADES DE PARQUES DE ATRACCIONES Y PARQUES TEMATICOS
64;15;3;ACTIVIDADES DE PELUQUERIA Y OTROS TRATAMIENTOS DE BELLEZA
65;2;3;ACTIVIDADES DE PLANES DE SEGURIDAD SOCIAL DE AFILIACION OBLIGATORIA
66;11;3;ACTIVIDADES DE PRODUCCION DE PELICULAS DE VIDEO Y PROGRAMAS DE TELEVISION
67;11;3;ACTIVIDADES DE PRODUCCION DE PELICULAS DE VIDEOCINTAS Y PROGRAMAS DE TELEVISION
68;11;3;ACTIVIDADES DE PRODUCCION DE PELICULAS, DE VIDEO DE PROGRAMAS DE TELEVISION, GRABACION Y PUBLICACION DE MUSICA Y SONIDO
69;19;3;ACTIVIDADES DE PROGRAMACION INFORMATICA
70;11;3;ACTIVIDADES DE PROYECCION DE PELICULAS
71;11;3;ACTIVIDADES DE PUBLICACION
